Date,NAV per unit,fund_net_NAV,investor,principal,unit_total,unit_chg,carry_fee,management_fee,realized_pnl,realized_mgm,realized_carry,gross_nav,gross_pnl,carry_amount,mgm_amount,net_nav,net_pnl,coin,total_return
2024/8/16,1.0,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.0,0.0,0.0,0.0,75.0,0.0,BTC,0.0
2024/8/23,1.00158408,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.11880599999999,0.1188059999999922,0.0237611999999984,0.0,75.0950448,0.0950447999999937,BTC,0.0012672639999999
2024/8/30,1.004316,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.3237,0.3237000000000023,0.0647400000000004,0.0,75.25896,0.2589600000000018,BTC,0.0034528
2024/9/6,1.003206667,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.24050002499999,0.2405000249999886,0.0481000049999977,0.0,75.19240002,0.1924000199999909,BTC,0.0025653335999998
2024/9/13,1.00312,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.234,0.2339999999999946,0.0467999999999989,0.0,75.18719999999999,0.1871999999999957,BTC,0.0024959999999999
2024/9/20,1.004766667,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.357500025,0.3575000249999931,0.0715000049999986,0.0,75.28600001999999,0.2860000199999944,BTC,0.0038133335999999
2024/9/27,1.006380487,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.478536525,0.4785365249999955,0.0957073049999991,0.0,75.38282921999999,0.3828292199999964,BTC,0.0051043895999999
2024/10/4,1.008021,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.60157500000001,0.6015750000000111,0.1203150000000022,0.0,75.48126,0.4812600000000088,BTC,0.0064168000000001
2024/10/11,1.008974333,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.673074975,0.6730749750000058,0.1346149950000011,0.0,75.53845998,0.5384599800000046,BTC,0.0071794664
2024/10/18,1.010361,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.77707500000001,0.7770750000000106,0.1554150000000021,0.0,75.62166,0.6216600000000085,BTC,0.0082888000000001
2024/10/25,1.011054333,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.829074975,0.8290749749999975,0.1658149949999995,0.0,75.66325997999999,0.663259979999998,BTC,0.0088434663999999
2024/11/1,1.011407067,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.855530025,0.8555300249999931,0.1711060049999986,0.0,75.68442402,0.6844240199999945,BTC,0.0091256535999999
2024/11/8,1.012793733,,sam,75,75.0,0,0.2,0,0.0,0,0.0,75.95952997500001,0.9595299750000096,0.1919059950000019,0.0,75.76762398000001,0.7676239800000075,BTC,0.0102349864000001
2024/11/15,1.016347067,,sam,75,75.0,0,0.2,0,0.0,0,0.0,76.22603002500001,1.2260300250000142,0.2452060050000028,0.0,75.98082402000001,0.9808240200000112,BTC,0.0130776536000001
2024/11/22,1.0180804,,sam,75,75.0,0,0.2,0,0.0,0,0.0,76.35603,1.356030000000004,0.2712060000000008,0.0,76.084824,1.0848240000000031,BTC,0.01446432
2024/11/29,1.0214604,,sam,75,75.0,0,0.2,0,0.0,0,0.0,76.60953,1.6095300000000066,0.3219060000000013,0.0,76.28762400000001,1.2876240000000052,BTC,0.01716832
2024/12/6,1.028567067,,sam,75,75.0,0,0.2,0,0.0,0,0.0,77.142530025,2.1425300249999992,0.4285060049999998,0.0,76.71402402,1.7140240199999994,BTC,0.0228536535999999
2024/12/13,1.031427067,,sam,75,75.0,0,0.2,0,0.0,0,0.0,77.357030025,2.3570300250000003,0.4714060050000001,0.0,76.88562402,1.8856240200000003,BTC,0.0251416536
